<DATE>,<CLOSE>
2016.11.09,23.35
2016.11.10,21.85
2016.11.11,20.34
2016.11.14,20.9
2016.11.16,22.26
2016.11.17,21.84
2016.11.18,22.49
2016.11.21,24.25
2016.11.22,24.55
2016.11.23,24.44
2016.11.24,23.78
2016.11.25,23.73
2016.11.28,24.82
2016.11.29,23.92
2016.11.30,24.48
2016.12.01,22.86
2016.12.02,23.34
2016.12.05,22.89
2016.12.06,22.92
2016.12.07,23.19
2016.12.08,23.02
2016.12.09,23.22
2016.12.12,22.12
2016.12.13,22.31
2016.12.14,21.77
2016.12.15,22.61
2016.12.16,22.75
2016.12.19,22.25
2016.12.20,22.61
2016.12.21,22.61
2016.12.22,22.39
2016.12.23,23.03
2016.12.26,23.39
2016.12.27,23.55
2016.12.28,23.85
2016.12.29,24.19
2017.01.02,23.72
2017.01.03,24.8
2017.01.04,24.67
2017.01.05,24.61
2017.01.06,24.88
2017.01.09,23.94
2017.01.10,24.27
2017.01.11,24.53
2017.01.12,25.15
2017.01.13,24.49
2017.01.16,24.51
2017.01.17,24.91
2017.01.18,24.7
2017.01.19,24.73
2017.01.20,25.28
2017.01.23,26.42
2017.01.24,25.92
2017.01.26,27.56
2017.01.27,27.03
2017.01.30,26.28
2017.01.31,26.79
2017.02.01,26.92
2017.02.02,26.67
2017.02.03,26.6
2017.02.06,25.94
2017.02.07,26.18
2017.02.08,26.46
2017.02.09,26.37
2017.02.10,26.85
2017.02.13,27.03
2017.02.14,27.11
2017.02.15,27.44
2017.02.16,28.33
2017.02.17,28.34
2017.02.20,28.8
2017.02.21,29.28
2017.02.22,29.36
2017.02.23,28.72
2017.02.24,28.51
2017.03.01,28.94
2017.03.02,28.67
2017.03.03,30.07
2017.03.06,30.31
2017.03.07,29.94
2017.03.08,29.23
2017.03.09,28.93
2017.03.10,29.04
2017.03.13,29.35
2017.03.14,29.29
2017.03.15,29.53
2017.03.16,29.14
2017.03.17,28.34
2017.03.20,28.29
2017.03.21,27.62
2017.03.22,28.55
2017.03.23,28.55
2017.03.24,28.68
2017.03.27,28.77
2017.03.28,28.59
2017.03.29,29.63
2017.03.30,29.43
2017.03.31,29.17
2017.04.03,29.26
2017.04.04,29.37
2017.04.05,28.87
2017.04.06,28.2
2017.04.07,28.07
2017.04.10,28.32
2017.04.11,28.35
2017.04.12,27.88
2017.04.13,26.43
2017.04.17,27.66
2017.04.18,27.93
2017.04.19,26.91
2017.04.20,27.12
2017.04.24,27.9
2017.04.25,28.07
2017.04.26,27.74
2017.04.27,28.13
2017.04.28,28.38
2017.05.02,29.27
2017.05.03,29.18
2017.05.04,27.95
2017.05.05,28.6
2017.05.08,27.88
2017.05.09,27.99
2017.05.10,28.81
2017.05.11,29.71
2017.05.12,30.57
2017.05.15,30.02
2017.05.16,30.02
2017.05.17,29.21
2017.05.18,23.39
2017.05.19,24.17
2017.05.22,23.05
2017.05.23,23.57
2017.05.24,23.99
2017.05.25,24.08
2017.05.26,25.08
2017.05.29,24.91
2017.05.30,25.2
2017.05.31,24.63
2017.06.01,24.37
2017.06.02,24.4
2017.06.05,23.99
